timestamp,bfly,bfnx,bnus,btrx,cbse,gmni,itbi,krkn,lmax,okcn,stmp,vwap global
2021-02-24 00:00:00,48929.54,48917.5599472669,48910.34651908862,48878.03334113194,48868.15733905226,48928.96416041603,48906.98485385185,48899.872330411454,48861.759607922846,48902.42007662444,48919.06186924589,48882.581773330465
2021-02-24 00:05:00,48683.05,48575.09775944772,48604.2534549104,48586.44490708906,48620.9612143751,48670.3097281324,48637.90343677541,48689.415184620986,48597.62822141396,48612.88397168501,48597.626023715166,48621.846515060526
2021-02-24 00:10:00,48264.27595519255,48278.1443158473,48423.14704138955,48365.36041689819,48432.80823686862,48425.50593861291,48382.36186634695,48478.95803883051,48433.86824520857,48366.82589019463,48529.17673972265,48434.1692797775
2021-02-24 00:15:00,47740.291561205624,47709.41345673412,47841.25933016615,47887.559232495216,47813.956056498304,47908.44592559271,47900.369623766106,47847.131627069844,47782.85506384262,47744.51713308943,47885.41170855156,47802.73797509782
2021-02-24 00:20:00,47312.57641429224,47281.376426627474,47300.63507002308,47324.80835907796,47364.64232835,47281.69602156507,47332.240574423246,47329.01252332163,47247.83189893528,47273.18161302674,47234.226053760576,47309.60362622357
2021-02-24 00:25:00,47255.81971830986,47182.556322834855,47209.22039936619,47217.20893022206,47226.45250555233,47214.56078890428,47190.279685607326,47171.49078400852,47236.41161456063,47246.172803319634,47220.67789109391,47212.42197837174
2021-02-24 00:30:00,47548.66278812644,47476.71827388811,47499.37538965585,47488.90721892357,47540.107570055465,47514.59447540597,47500.8154643856,47486.650965511995,47509.109684449766,47545.69346604546,47508.5064491534,47514.69922309171
2021-02-24 00:35:00,47741.14,47702.93675032475,47689.7658726327,47695.58383076543,47688.99488392421,47733.26647903785,47690.98440193859,47680.14435468385,47698.73315224607,47686.21618604987,47715.73225219196,47695.81002864005
2021-02-24 00:40:00,47870.47580254721,47738.751387062475,47736.38401558553,47722.168079585535,47725.78133008502,47740.70933275433,47737.5211853955,47703.053335110155,47740.82683240647,47776.87439569424,47749.63210141339,47732.81784437319
2021-02-24 00:45:00,47999.811605094415,47792.15485944737,47805.02462260229,47812.53956198085,47813.99018950739,47851.26185599295,47807.740376879534,47893.1361810699,47805.591954797776,47926.106212748346,47793.826283232396,47821.45854969088
2021-02-24 00:50:00,48129.14740764163,48014.256729841894,47991.82656709562,48011.86022285051,47940.777814582805,47970.74120909394,47963.031005376935,47976.882223519715,47902.74811715482,48019.76792371306,47964.31723095078,47960.78158642892
2021-02-24 00:55:00,48315.88412715979,48318.32579263723,48334.65799481967,48295.43959583451,48371.775445671396,48327.88601092922,48305.52226107819,48335.88138648563,48302.67259199134,48384.42912440545,48304.48091362933,48347.714615969155
2021-02-24 01:00:00,48502.62084667795,48539.74473820542,48607.25036714629,48514.985783621305,48564.51417491068,48568.585861976724,48567.59972139522,48614.50490636118,48562.38587582784,48558.14861183233,48570.96489115054,48577.96250059343
2021-02-24 01:05:00,48689.357566196115,48736.89506510474,48702.652790533684,48711.54768554347,48759.28852728839,48729.7613879773,48730.62279117072,48743.397674432796,48725.344272300455,48826.02360368804,48720.81847343839,48745.542910158074
2021-02-24 01:10:00,48876.09428571428,48818.750842831745,48855.269649724076,48798.90194146622,48855.48689461366,48845.65578291127,48863.4445971812,48798.80475963778,48800.13279108175,48847.967015846065,48842.65701332022,48833.3104415565
2021-02-24 01:15:00,48928.90742857142,48940.74466694489,48956.118714685654,48886.03298436356,48961.970594071914,48923.99267114646,48944.218815313434,48969.14079532269,48871.71509761636,49012.47594965901,48991.6899649201,48968.32893164405
2021-02-24 01:20:00,48981.72057142857,49027.326372511605,49047.45382043309,49007.433976247456,49047.45890162474,49077.30018638978,49035.647168188814,49019.64573308537,49156.051591904434,49085.636802880595,48995.90090098216,49042.29532601597
2021-02-24 01:25:00,49034.53371428572,49244.24943279291,49233.67134568293,49238.102334867,49277.487556562475,49262.19272783781,49295.35985662457,49259.368107361086,49218.76014654225,49262.41771705378,49256.273188576815,49261.97831756451
2021-02-24 01:30:00,49087.34685714286,48990.96107387899,48957.43525951379,48960.63711905031,49017.70204464438,48962.94937514396,49022.464283996596,48945.24196416149,48960.88511656185,49019.847909942735,49017.72343516431,48995.7172891093
2021-02-24 01:35:00,49140.16,49144.599663806,49175.56568011749,49167.00989616726,49178.0254607861,49210.11182147064,49146.63189891219,49144.03379748036,49049.018113387974,49208.831325312276,49131.8162847996,49161.1468239679
2021-02-24 01:40:00,49810.68614466039,49674.85449122392,49593.327764149864,49580.11761352124,49622.60932404222,49657.65391316135,49692.98642153914,49573.33262356887,49730.271337054386,49685.81723770749,49559.93475092553,49637.335600935745
2021-02-24 01:45:00,49927.67076310692,49863.165662202504,49811.276561440456,49829.505676078195,49806.04779965742,49873.899981487986,49726.870249810694,49803.87730780723,49795.27124131843,49851.03122364021,49805.871340166144,49817.59118520189
2021-02-24 01:50:00,50044.655381553464,49659.51088073059,49689.710764411706,49674.559680985934,49726.265209179284,49704.16585939761,49705.107776828976,49681.28004251151,49688.49283030064,49733.92757084939,49739.18612631097,49702.20842361227
2021-02-24 01:55:00,50161.64,49953.10224173604,49950.032649918525,50011.11758302417,50014.24591787496,50105.423034475,50024.5517666853,49989.993005504846,49967.170421037634,49959.25411482006,49968.83064516481,49994.27492891332
2021-02-24 02:00:00,50196.82016879555,50270.70316167888,50227.76214870654,50213.19452713233,50263.63321799836,50146.37290212123,50390.21562645758,50243.84977481927,50224.30113476033,50159.24209029128,50219.499893547814,50254.30216706961
