,bfly,bfnx,bnus,btrx,cbse,gmni,itbi,krkn,lmax,okcn,stmp
,std,std,std,std,std,std,std,std,std,std,std
timestamp,,,,,,,,,,,
2021-02-24 00:00:00,450.1976768810458,482.0800190444199,468.7544220207197,422.8279422433688,429.09278083206976,445.2449747024478,412.47005339785306,333.10774070946627,448.75833581054604,370.2495300624658,447.39107663279975
2021-02-24 00:20:00,191.7483693186552,224.77977798577987,216.50825689377703,231.51847762975973,218.27850231303526,222.569463264785,226.67374954136446,203.94109931621222,230.2681181486135,220.14854870926783,220.40105544698392
2021-02-24 00:40:00,25.447744104341417,246.68033626336518,260.4315152737304,239.05289699739703,257.8304634395771,220.3789782859981,233.59206995245864,258.1313822517431,232.3928899021165,242.05989883794587,257.0992852693027
2021-02-24 01:00:00,95.77054244390764,149.9260910062383,155.7046471760555,149.11039054638076,153.23982481230175,150.318556099669,157.0220955082316,155.06947117304298,131.06382810095508,145.9038498306934,171.89024431836734
2021-02-24 01:20:00,131.02288883717432,131.02288883717432,135.05260400247963,135.85363012985906,139.90419020213636,146.8699336715355,134.18289715788575,147.85296289219056,150.8847870579815,143.93202508937327,144.21415670719628
2021-02-24 01:40:00,158.96672349897483,218.989159712755,176.01405534814234,188.1526198375727,189.7642055821242,207.56903292763135,173.91655366829576,198.87729774553668,166.16305141719343,156.11605967336234,200.86271063567557
2021-02-24 02:00:00,135.09702079123053,165.44291561426346,181.76106543921455,181.23943187026714,189.6218248690019,194.8979406628118,175.86214564177143,196.16011650098207,189.2463168251544,178.55818427158474,196.4504663865462
2021-02-24 02:20:00,202.08370883089432,202.08370883089432,196.22883084412044,174.19992391801205,182.57823464520956,187.8791121639262,177.85784349115468,190.4538741828407,185.79327811948573,178.51045759722453,168.41364590661473
2021-02-24 02:40:00,93.29279513007539,93.29279513007539,94.01651308755383,106.76337415210905,92.60809418656102,91.19726358066153,90.73905366090749,94.69466643837504,85.28217821170468,97.75843453861397,83.1861942761155
2021-02-24 03:00:00,117.66310104597943,117.66310104597943,107.6181689671528,81.19529408158108,99.63136578669415,115.15220990296912,102.91302646620495,99.65656285606308,90.22883272309369,92.33739472558355,89.77698590603443
2021-02-24 03:20:00,90.76257778989219,90.76257778989219,60.407258812299204,62.36959902565846,64.2423974301315,66.49000671547353,59.979860419533246,61.7278747319618,56.76838100721833,58.64572199422051,66.72845041622367
2021-02-24 03:40:00,188.7830015450258,188.7830015450258,196.2039508414252,182.31899321074624,206.30596612990811,202.87359927691833,209.73309046933105,195.50473160596394,242.14114950380127,211.14666792063807,209.19091685838274
2021-02-24 04:00:00,7.834743135548181,116.09524098511517,124.37621618418318,110.87865179451629,114.7917836191985,117.58990136873746,114.76583422158227,118.12026313167166,113.56916299797697,92.04806064856882,125.26162982610506
2021-02-24 04:20:00,5.381082604830038,124.40478822954846,124.93800085874041,132.7254202527378,128.0220119144224,122.72437584884507,127.84825808872117,127.47912546760669,125.66283635807264,114.83581740393687,129.8057620621977
2021-02-24 04:40:00,180.95969154546063,180.95969154546063,168.8481189626508,177.33092097213796,165.78207431197015,161.18461245347888,152.4156775984648,164.69359571114117,165.98676270550112,166.8578828314158,165.38970069697444
2021-02-24 05:00:00,254.4173677808407,254.4173677808407,234.88737909493565,203.29903548349014,221.61682101839247,217.78519736787533,209.15444842659087,247.52550352323362,203.47812231601057,206.42474076262795,233.53334032698933
2021-02-24 05:20:00,130.11504425060974,130.11504425060974,124.66391025113963,137.7950961241468,125.81067885325675,113.59851584216557,117.63437506678045,121.7290847968258,103.91318720995372,109.9657268661075,124.98742898144368
2021-02-24 05:40:00,89.32669239734673,89.32669239734673,76.1217666766696,76.50260622751453,73.52209269760273,72.81949170206121,70.98680380711374,69.57284531208768,73.03171356663135,64.00249769487677,73.64107250598711
2021-02-24 06:00:00,208.99936465214964,417.8109685636525,399.88730635981096,373.4861054916205,386.65773901465144,355.0612690995318,384.15700850972416,376.74072794557355,405.45158116568183,369.250690263462,361.69962298564633
2021-02-24 06:20:00,143.90519725797284,143.90519725797284,134.2531576270348,153.3497256098815,136.65494109598842,147.3624884821443,130.436545783411,134.010001712016,137.52005913313062,150.86613137879834,132.29962742360962
2021-02-24 06:40:00,34.72264487727028,158.08272054128213,170.7622050603958,150.311226792002,146.71547407614935,150.07820250362678,131.25794181967453,145.3495552144156,118.59183061998978,172.30527031276003,139.11868261790957
2021-02-24 07:00:00,156.29771793608805,156.29771793608805,175.24315090635892,177.7690352826576,162.46522829541755,165.57886940252533,165.552869624122,152.46056774405153,156.17804985924244,132.03965878966352,159.46028148947966
2021-02-24 07:20:00,158.3321582300821,158.3321582300821,128.18973264144086,110.20492984195586,133.56623906280672,124.16753888984871,108.33501888473701,161.64936187583888,154.3045040282515,129.42348214003502,118.69860337156038
2021-02-24 07:40:00,88.86750779283152,88.86750779283152,80.60914983395428,74.69559987685477,76.93021977155742,87.14499214608992,63.22038689894054,89.7251096098348,75.69502904899265,80.21458517598747,77.92698874542
2021-02-24 08:00:00,284.9855238955161,312.2363361481081,288.3318108586993,275.47616129732654,283.0142586566376,315.35722560372204,305.7662013659001,287.5980785543291,253.90267425229905,284.27181525445855,277.5945571483704
2021-02-24 08:20:00,71.9177802770761,71.9177802770761,72.17054446640145,66.00802776831792,72.18718890426743,85.84244971386904,67.09276385248867,79.05616090404912,74.15089087598679,78.5991088177201,93.70560449868118
2021-02-24 08:40:00,115.21472524561163,115.21472524561163,112.94024679727639,106.25888411509361,108.71758175361724,114.92581812911773,102.05494704446527,97.93614363540547,95.46176983134785,114.08023495422941,104.16413028871278
2021-02-24 09:00:00,168.2474585009875,168.2474585009875,163.58248763270572,172.56247989370138,163.64182785515516,155.51024520136352,139.56352580422288,154.95798060859426,168.11245166620495,151.82585127340826,163.81303515900976
2021-02-24 09:20:00,33.01311608033312,141.13851073413753,110.37252807084319,112.38817623290196,119.18293258591149,115.9790403982604,104.89022127726066,115.22506895828944,97.06155229470416,117.62119703382268,109.38540196238867
2021-02-24 09:40:00,161.96700873999063,161.96700873999063,155.25837341683857,136.25796526443844,152.4181306462986,176.61566836040473,150.28099071272732,153.35587836166886,159.58401250846129,149.76848293111317,162.71522485412694
2021-02-24 10:00:00,192.41248296516542,192.41248296516542,178.32914871019466,174.6693806432879,183.75453808392552,186.72930534319914,161.76293219139666,161.03467097324557,180.09471139296832,176.86415390181668,174.15780262786927
2021-02-24 10:20:00,41.11825932599619,112.63278280355978,118.93771919763891,118.71934602267982,121.92552790788085,123.55881596811295,113.00511724539882,117.42544357118238,122.19192755481825,105.34858232637407,126.24320477747885
2021-02-24 10:40:00,127.88269008797162,127.88269008797162,139.57791396810248,142.17931906447365,131.15720547269527,124.19145614165053,115.1173407538006,133.55431759514633,139.97272536801717,133.52327342484458,145.37156662141004
2021-02-24 11:00:00,0.0,114.60348900769502,119.52587989293887,111.69486285790985,105.71450203674476,126.77460746556226,107.69867778729603,100.49576634287412,117.72639166852579,116.75207660092259,112.92119967408067
2021-02-24 11:20:00,188.0338352531255,122.20607057011136,146.8828885191186,135.06939447626624,141.74218776153697,134.55428642887983,142.76917441215923,126.07918591298483,127.47680064362508,145.3359898117646,151.82136795098026
2021-02-24 11:40:00,100.20396256474442,100.20396256474442,88.63025621203955,98.8548550543418,102.75563692707564,93.94325602890343,109.6718394786209,96.10333147499473,95.84312041321364,109.9049129701535,102.96804729457006
2021-02-24 12:00:00,148.97900656266717,148.97900656266717,163.08273056797034,138.81895842189624,149.2377459925917,146.35872347955893,146.76198173588273,162.02283314386244,177.32524878302723,148.0252421935648,148.99105132875263
2021-02-24 12:20:00,107.26102763818903,94.69752201330466,129.4617328110988,87.18741683583787,118.73823462487212,124.3592267783139,116.15839793765201,123.95393563758584,108.85117453250858,127.39051037702122,121.88323462194917
2021-02-24 12:40:00,129.35946151712344,129.35946151712344,134.34981234461407,127.14936197192955,133.3499887745487,136.27815373634445,119.52375413165078,116.66738150455639,126.92243276769887,122.86622316174002,136.55785017967884
2021-02-24 13:00:00,280.0835300485269,424.48387993367305,432.27396073304453,440.3899420182327,444.2687897651667,394.5443005073237,435.65880215815355,419.18126736895533,401.0907190031645,416.64559321592463,447.36627152466536
2021-02-24 13:20:00,114.74162252032438,232.78656351782416,250.34103853058858,237.04033574877528,266.2729462170057,255.73221616732724,247.59168808475067,244.90446013563582,246.04894718221882,229.4062637432675,242.3086972507495
2021-02-24 13:40:00,141.37215255284295,142.6466804025837,141.97617014245589,140.0444304708095,138.75697648971644,126.57333387137652,145.4612155917651,148.1554379498333,138.60188835284345,153.01117608781837,139.0702159761429
2021-02-24 14:00:00,155.44036049122772,177.33085069914196,169.50842436750338,182.5892248573781,166.59908784779017,161.45528008240836,157.62982797265678,175.86671657667753,167.02107906415054,174.80136800324863,182.26573188548272
2021-02-24 14:20:00,140.82487916446576,140.82487916446576,116.80330434970955,123.39106307239298,124.80849948397879,115.43086805107039,119.99924024545072,123.08518036087847,123.22140630301925,99.1431440176981,125.67311406734939
2021-02-24 14:40:00,117.46438749680674,172.5526009850065,137.33109008087388,150.1787934987544,151.93962745525212,164.20642447639742,143.1678223945979,178.21648665106338,141.64685286177343,140.923063592625,143.57346763513215
2021-02-24 15:00:00,24.410369381343532,300.3792925729587,270.71913223102547,263.6472000652039,274.57359698873637,283.9416458840626,269.75915819689936,279.4457966849055,295.269790650637,272.5969265941695,275.9423900617813
2021-02-24 15:20:00,248.4543456921876,381.70080984922157,351.846070617771,361.45198823025265,352.62310985443827,362.43238715019487,345.1401383972456,351.7963813917623,376.0194421644053,328.4285767370375,345.18676570598757
2021-02-24 15:40:00,178.5200453212054,178.5200453212054,189.6095134958555,200.84642707076455,181.52850933696172,191.48376776817048,171.35929982420677,188.43465201548386,196.62331389924466,191.22331883708924,181.89050738250992
