,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
bfly,2021-02-24 00:00:00,48929.54,48929.54,47086.89,47300.6
bfly,2021-02-24 00:30:00,47399.97,48191.14,47399.97,48191.14
bfly,2021-02-24 01:00:00,48934.14,48934.14,48798.7,48798.7
bfly,2021-02-24 01:30:00,49140.16,50161.64,49140.16,50161.64
bfly,2021-02-24 02:00:00,49994.55,50513.79,49994.55,50136.78
bfly,2021-02-24 02:30:00,,,,
bfly,2021-02-24 03:00:00,,,,
bfly,2021-02-24 03:30:00,50948.0,50948.0,50948.0,50948.0
bfly,2021-02-24 04:00:00,51025.46,51025.46,50736.28,50743.89
bfly,2021-02-24 04:30:00,,,,
bfly,2021-02-24 05:00:00,,,,
bfly,2021-02-24 05:30:00,,,,
bfly,2021-02-24 06:00:00,50050.8,50050.8,49656.52,49656.52
bfly,2021-02-24 06:30:00,49923.2,50018.9,49923.2,50018.9
bfly,2021-02-24 07:00:00,49680.1,49680.1,49680.1,49680.1
bfly,2021-02-24 07:30:00,,,,
bfly,2021-02-24 08:00:00,49890.34,50410.65,49890.34,50410.65
bfly,2021-02-24 08:30:00,50726.45,50726.45,50726.45,50726.45
bfly,2021-02-24 09:00:00,50890.43,50900.0,50890.43,50900.0
bfly,2021-02-24 09:30:00,50907.35,50907.35,50846.85,50846.85
bfly,2021-02-24 10:00:00,,,,
bfly,2021-02-24 10:30:00,50544.26,50544.26,50486.11,50486.11
bfly,2021-02-24 11:00:00,50500.0,50500.0,50436.16,50436.16
bfly,2021-02-24 11:30:00,50702.08,50702.08,50702.08,50702.08
bfly,2021-02-24 12:00:00,51078.18,51078.18,51078.18,51078.18
bfly,2021-02-24 12:30:00,51229.87,51229.87,51229.87,51229.87
bfly,2021-02-24 13:00:00,50500.0,50500.0,49560.79,49560.79
bfly,2021-02-24 13:30:00,49316.51,49870.34,48978.31,49699.0
bfly,2021-02-24 14:00:00,49700.0,49700.0,49272.35,49516.91
bfly,2021-02-24 14:30:00,49344.0,49344.0,48888.0,49026.73
bfly,2021-02-24 15:00:00,49085.09,49127.37,48517.6,48971.42
bfly,2021-02-24 15:30:00,49304.15,49321.43,49304.15,49321.43
bfly,2021-02-24 16:00:00,50314.08,50314.08,49449.13,49584.9
bfly,2021-02-24 16:30:00,49537.17,49537.17,49537.17,49537.17
bfly,2021-02-24 17:00:00,49717.23,49779.0,49717.23,49779.0
bfly,2021-02-24 17:30:00,49704.36,49731.74,49704.36,49731.74
