,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
bfly,2021-02-24 00:00:00,48929.54,48929.54,48929.54,48929.54
bfly,2021-02-24 00:05:00,48683.05,48683.05,48683.05,48683.05
bfly,2021-02-24 00:10:00,48574.05,48574.05,48263.33,48263.33
bfly,2021-02-24 00:15:00,47873.53,47873.53,47648.25,47817.29
bfly,2021-02-24 00:20:00,47500.0,47500.0,47086.89,47153.51
bfly,2021-02-24 00:25:00,47247.61,47300.6,47247.61,47300.6
bfly,2021-02-24 00:30:00,47399.97,47563.17,47399.97,47563.17
bfly,2021-02-24 00:35:00,47741.14,47741.14,47741.14,47741.14
bfly,2021-02-24 00:40:00,,,,
bfly,2021-02-24 00:45:00,,,,
bfly,2021-02-24 00:50:00,48128.38,48191.14,48128.38,48191.14
bfly,2021-02-24 00:55:00,,,,
bfly,2021-02-24 01:00:00,,,,
bfly,2021-02-24 01:05:00,,,,
bfly,2021-02-24 01:10:00,48934.14,48934.14,48798.7,48798.7
bfly,2021-02-24 01:15:00,,,,
bfly,2021-02-24 01:20:00,,,,
bfly,2021-02-24 01:25:00,,,,
bfly,2021-02-24 01:30:00,,,,
bfly,2021-02-24 01:35:00,49140.16,49140.16,49140.16,49140.16
bfly,2021-02-24 01:40:00,49777.91,49818.51,49777.91,49818.51
bfly,2021-02-24 01:45:00,,,,
bfly,2021-02-24 01:50:00,,,,
bfly,2021-02-24 01:55:00,50161.64,50161.64,50161.64,50161.64
bfly,2021-02-24 02:00:00,49994.55,50513.79,49994.55,50513.79
bfly,2021-02-24 02:05:00,,,,
bfly,2021-02-24 02:10:00,,,,
bfly,2021-02-24 02:15:00,50136.78,50136.78,50136.78,50136.78
bfly,2021-02-24 02:20:00,,,,
bfly,2021-02-24 02:25:00,,,,
bfly,2021-02-24 02:30:00,,,,
bfly,2021-02-24 02:35:00,,,,
bfly,2021-02-24 02:40:00,,,,
bfly,2021-02-24 02:45:00,,,,
bfly,2021-02-24 02:50:00,,,,
bfly,2021-02-24 02:55:00,,,,
bfly,2021-02-24 03:00:00,,,,
bfly,2021-02-24 03:05:00,,,,
bfly,2021-02-24 03:10:00,,,,
bfly,2021-02-24 03:15:00,,,,
bfly,2021-02-24 03:20:00,,,,
bfly,2021-02-24 03:25:00,,,,
bfly,2021-02-24 03:30:00,,,,
bfly,2021-02-24 03:35:00,,,,
bfly,2021-02-24 03:40:00,,,,
bfly,2021-02-24 03:45:00,,,,
bfly,2021-02-24 03:50:00,,,,
